Ref,Val,Package,PosX,PosY,Rot,Side
"C9","4.7uF","C_0402_1005Metric",18.7500,-22.4800,0.0,top
"C6","1uF","C_0402_1005Metric",1.9925,-4.2000,180.0,top
"R12","10K","R_0402_1005Metric",17.8000,-20.3000,90.0,top
"R9","10K","R_0402_1005Metric",17.0500,-21.8500,90.0,top
"C7","27pF","C_0402_1005Metric",10.1125,-3.5500,0.0,top
"R7","4.7K","R_0402_1005Metric",8.9925,-1.5350,180.0,top
"J3","FFC_connector_16p_hinge_lock","FFC_connector_16p_hinge_lock",20.5000,-12.5000,0.0,top
"R8","22K","R_0402_1005Metric",3.1225,-2.1650,0.0,top
"R10","22K","R_0402_1005Metric",3.1525,-4.2350,0.0,top
"IGNORE1","LightSound v0.7","BoardText",18.7000,-23.2000,0.0,top
"C5","4.7uF","C_0402_1005Metric",10.1000,-6.2500,180.0,top
"R11","300K","R_0402_1005Metric",9.0025,-3.5650,180.0,top
"C8","4.7uF","C_0402_1005Metric",23.7500,-21.6150,0.0,top
"J4","swd_4pin","swd_header",5.8600,-23.6000,90.0,top
"U6","LIS3DHTR","LGA-16_3x3mm_P0.5mm_LayoutBorder3x5y",12.5000,-7.1250,90.0,top
"U2","ME6211C33M5G-N","SOT-23-5",21.2500,-22.0150,90.0,top
"R2","75R","R_0402_1005Metric",7.8000,-17.4500,-90.0,top
"H2","M2.5MountingHole","MountingHole_2.7mm_M2.5_ISO7380",22.5000,-2.5500,0.0,top
"U3","STM32G030F6P6","TSSOP-20_4.4x6.5mm_P0.65mm",12.7660,-17.6250,180.0,top
"R3","75R","R_0402_1005Metric",7.9750,-13.1400,180.0,top
"C2","4.7uF","C_0402_1005Metric",17.4785,-18.7850,180.0,top
"R4","75R","R_0402_1005Metric",7.8900,-16.0500,-90.0,top
"R1","75R","R_0402_1005Metric",17.4750,-14.6750,180.0,top
"C3","4.7uF","C_0402_1005Metric",14.9950,-1.8500,0.0,top
"C1","0.1uF","C_0402_1005Metric",17.4785,-16.7750,0.0,top
"H1","M2.5MountingHole","MountingHole_2.7mm_M2.5_ISO7380",2.5000,-22.5000,0.0,top
"C4","4.7uF","C_0402_1005Metric",10.2025,-1.4800,180.0,top
"U1","LTR-381RGB","LTR-381RGB",17.2700,-2.0100,0.0,top
"U5","op_amp_mcp6001","SOT-23-5",6.1400,-3.6000,180.0,top
"J5","FFC_connector_16p_hinge_lock","FFC_connector_16p_hinge_lock",4.5000,-12.5000,180.0,top
"C10","4.7uF","C_0402_1005Metric",13.7850,-4.5500,-90.0,top
"U4","LMA2718T421","SMD-4P-2.8x1.9mm",13.0100,-2.0300,0.0,top
