Ref,Val,Package,PosX,PosY,Rot,Side
"C9","4.7uF","C_0402_1005Metric",17.1000,-22.4650,0.0,top
"J7","FFC_connector_16p_hinge_lock","FFC_connector_16p_hinge_lock",20.6050,-12.5000,0.0,top
"IGNORE4","5V","BoardText",9.7000,-1.1500,90.0,top
"C4","47uF_16V","C_1210_3225Metric",4.2200,-3.1000,0.0,top
"IGNORE1","LED v0.5","BoardText",20.3000,-24.1500,0.0,top
"R5","1K","R_0402_1005Metric",14.9900,-9.6500,180.0,top
"R7","1K","R_0402_1005Metric",16.1500,-9.6200,0.0,top
"C8","4.7uF","C_0402_1005Metric",22.1000,-21.6000,0.0,top
"J4","swd_4pin","swd_header",5.8500,-23.6000,90.0,top
"IGNORE2","GND","BoardText",17.3250,-1.5750,90.0,top
"U2","ME6211C33M5G-N","SOT-23-5",19.6000,-22.0000,90.0,top
"Q3","N_MOSFET","SOT-23",12.2500,-10.4300,0.0,top
"R2","75R","R_0402_1005Metric",7.8150,-17.7500,-90.0,top
"H2","M2.5MountingHole","MountingHole_2.7mm_M2.5_ISO7380",22.5000,-2.5500,0.0,top
"U3","STM32G030F6P6","TSSOP-20_4.4x6.5mm_P0.65mm",12.7660,-17.6250,180.0,top
"R3","75R","R_0402_1005Metric",9.3250,-13.4250,-90.0,top
"C2","4.7uF","C_0402_1005Metric",17.4785,-18.7850,180.0,top
"R4","75R","R_0402_1005Metric",7.8000,-14.6650,-90.0,top
"J5","FFC_connector_16p_hinge_lock","FFC_connector_16p_hinge_lock",4.4500,-12.5250,180.0,top
"R1","75R","R_0402_1005Metric",17.4250,-14.3250,180.0,top
"IGNORE3","DATA","BoardText",13.4500,-1.7500,90.0,top
"J2","TerminalBlock_3P_3.8_black","TerminalBlock_03_P3.81mm_Horizontal",12.6150,-3.8700,0.0,top
"C1","0.1uF","C_0402_1005Metric",17.4785,-16.7750,0.0,top
"H1","M2.5MountingHole","MountingHole_2.7mm_M2.5_ISO7380",2.5000,-22.5000,0.0,top
