Ref,Val,Package,PosX,PosY,Rot,Side
C9,4.7uF,C_0402_1005Metric,13.9000,-21.5500,-90.0,top
J1,FFC_connector_16p_hinge_lock,FFC_connector_16p_hinge_lock,4.5000,-12.5000,180.0,top
R13,0.01R,R_0805_2012Metric,8.2250,-3.7000,0.0,top
Q6,PMOS_2A,SOT-23,48.5500,-21.8000,-90.0,top
J3,FFC_connector_16p_hinge_lock,FFC_connector_16p_hinge_lock,50.0000,-12.5000,0.0,top
C10,22uF_25V,C_0805_2012Metric,30.3000,-20.9500,180.0,top
C13,4.7uF,C_0402_1005Metric,21.7250,-7.1150,180.0,top
C14,4.7uF,C_0402_1005Metric,22.2600,-4.7000,-90.0,top
D2,red_led,LED_SML-D12D1WT86,22.2750,-1.0000,-90.0,top
SW1,side_spst_switch,side_spst_switch,43.1000,-2.4000,180.0,top
C7,10pF,C_0402_1005Metric,22.9000,-20.2000,90.0,top
Q2,PMOS_2A,SOT-23,42.6750,-21.8650,-90.0,top
J5,ConnBattery_JST_S2B-PH-K-S,JST_PH_S2B-PH-K_1x02_P2.00mm_Horizontal,31.8500,-16.4500,180.0,top
IGNORE1,Battery v0.5,BoardText,46.8000,-24.7000,0.0,top
J2,USB_C_power_only_connector,USB_C_Receptacle_power_only_6P,15.2500,-3.4000,0.0,top
U6,INA180A3,SOT-23-5,4.7500,-3.5750,0.0,top
IC1,USBLC6-2P6,USBLC6-2P6,19.4000,-7.8000,-90.0,top
C8,4.7uF,C_0402_1005Metric,19.4000,-21.3500,0.0,top
U8,TP4057,SOT-23-6,24.1325,-7.1750,180.0,top
U5,TPS61230A,TPS61230A,25.9750,-20.6500,90.0,top
J4,swd_4pin,swd_header,5.8500,-23.6000,90.0,top
U2,ME6211C33M5G-N,SOT-23-5,16.9000,-21.7500,90.0,top
C1,0.1uF,C_0402_1005Metric,19.9500,-16.0000,0.0,top
R10,150K,R_0402_1005Metric,22.9400,-22.3250,-90.0,top
R9,510K,R_0402_1005Metric,22.9150,-21.2750,90.0,top
C5,22uF_25V,C_0805_2012Metric,27.2750,-17.4250,0.0,top
R16,330R,R_0402_1005Metric,21.7650,-2.3500,90.0,top
R2,75R,R_0402_1005Metric,8.2000,-17.1350,0.0,top
H2,M2.5MountingHole,MountingHole_2.7mm_M2.5_ISO7380,51.5000,-2.5500,0.0,top
U3,STM32G030F6P6,TSSOP-20_4.4x6.5mm_P0.65mm,14.2375,-15.8250,180.0,top
R3,75R,R_0402_1005Metric,8.2000,-13.0500,180.0,top
R12,5.1K,R_0402_1005Metric,16.4000,-7.0500,90.0,top
C2,4.7uF,C_0402_1005Metric,18.7500,-16.8850,180.0,top
J8,ConnBattery_JST_S2B-PH-K-S,JST_PH_S2B-PH-K_1x02_P2.00mm_Horizontal,38.8500,-16.4500,180.0,top
R15,100K,R_0402_1005Metric,20.3750,-19.7750,90.0,top
L1,1uH_3.2A,L_1008_2520Metric,24.8500,-17.1750,90.0,top
C11,22uF_25V,C_0805_2012Metric,28.3000,-20.9500,180.0,top
R18,10K,R_0402_1005Metric,22.6400,-18.6350,0.0,top
R17,5.1K,R_0402_1005Metric,26.6325,-7.8250,180.0,top
R4,75R,R_0402_1005Metric,8.2000,-15.0500,0.0,top
R1,75R,R_0402_1005Metric,12.9000,-10.1500,180.0,top
R11,5.1K,R_0402_1005Metric,13.8650,-7.0750,-90.0,top
Q5,N_MOSFET,SOT-23,38.9500,-21.8150,-90.0,top
R14,100K,R_0402_1005Metric,20.3150,-17.6250,-90.0,top
H1,M2.5MountingHole,MountingHole_2.7mm_M2.5_ISO7380,2.5000,-22.5000,0.0,top
C6,10nF,C_0402_1005Metric,25.4250,-22.7250,-90.0,top
C3,0.1uF,C_0402_1005Metric,20.3650,-18.7250,90.0,top
R19,10K,R_0402_1005Metric,46.1500,-22.0750,180.0,top
R20,100K,R_0402_1005Metric,45.0750,-22.0650,180.0,top
Ref,Val,Package,PosX,PosY,Rot,Side
IGNORE5,-,BoardText,39.8500,-19.0000,180.0,bottom
IGNORE6,-,BoardText,30.7920,-9.2500,180.0,bottom
IGNORE6,-,BoardText,30.7920,-19.0051,180.0,bottom
IGNORE3,OFF,BoardText,40.4500,-6.5000,180.0,bottom
IGNORE4,+,BoardText,37.8500,-19.0000,180.0,bottom
J6,01x06_2.54mm_Female,01x06_2.54mm_Female,53.1000,-12.5000,0.0,bottom
IGNORE2,ON,BoardText,46.0421,-6.5000,180.0,bottom
IGNORE8,Only connect,BoardText,44.4500,-13.5500,-90.0,bottom
IGNORE4,+,BoardText,37.8500,-9.2449,180.0,bottom
J7,01x06_2.54mm_Male,01x06_2.54mm_Male,2.5000,-12.5000,180.0,bottom
IGNORE9,1 battery!,BoardText,44.4500,-13.3500,90.0,bottom
IGNORE7,+,BoardText,32.8421,-9.2500,180.0,bottom
IGNORE7,+,BoardText,32.8421,-19.0051,180.0,bottom
IGNORE5,-,BoardText,39.8500,-9.2449,180.0,bottom
